lat,lng
37.49874052,127.133107
37.47294629,126.8980936
37.61909675,126.915444
37.48749238,126.8977393
37.44395888,126.9034922
37.55460089,127.0949431
37.48122622,126.9549303
37.5946351,127.0860718
37.54170482,127.0651741
37.54730259,127.0254745
37.60244866,127.0381594
37.50673726,126.9014769
37.53665923,126.8833993
37.50030167,127.141916
37.51327688,126.9316479
37.47719185,126.9817981
37.5465552,126.8628733
37.49794369,127.0275518
37.54460299,126.8486832
37.48768884,126.9319437
37.47328971,126.9126006
37.57216769,126.9290944
37.54872896,126.9118054
37.50538728,126.898331
37.55125436,127.0712547
37.55104375,127.0533459
37.57110108,127.004238
37.49254496,126.9094408
37.51955031,127.027823
37.50772469,127.1465082
37.57832394,127.0337489
37.57306984,127.0073052
37.48317136,127.0210732
37.6774881,127.0449797
37.52144716,126.8736338
37.5311915,126.872081
37.59031055,127.0689806
37.50970516,126.9988172
37.67442554,127.050192
37.57756929,127.0578195
37.58573513,127.0011961
37.57053361,126.977166
37.5230162,127.0450933
37.56221774,127.087259
37.51596404,127.0191664
37.58799426,127.0544618
37.48125328,126.909903
37.57275074,127.0800518
37.5715425,127.0351954
37.50307397,126.9488544
37.61422896,127.0631886
37.64025292,127.0331808
37.49562557,127.1455584
37.63462549,126.9188359
37.49587455,126.9378887
37.47504547,127.1287793
37.65182864,127.047721
37.55281617,126.8506722
37.53375751,127.1381002
37.50007897,127.0341228
37.56957943,126.9177337
37.53707988,127.1290844
37.53590572,127.1332227
37.55717234,127.1711833
37.52714563,126.842486
37.47403919,126.9761425
37.59449623,127.0650031
37.47618095,127.059198
37.6334615,127.0230797
37.54901817,126.9137729
37.56690688,127.0437508
37.53547046,126.9064652
37.6198959,127.0185318
37.6576137,127.0155561
37.56609583,126.9825869
37.61088875,126.9776201
37.56750355,127.0259012
37.48775499,126.9269774
37.5701096,126.9135816
37.55419051,126.9116832
37.46760141,127.0406458
37.49187097,127.0936418
37.54286969,127.1123713
37.45109022,126.8966972
37.55601992,127.0882555
37.55388551,126.9192597
